model,document,RCC,OAL,RIF,CAS,HRR,HRR_detection,HRR_stability,RIF_lower,RIF_upper
gpt-4o,basel3,0.996,0.4681,0.5641,0.3263,0.3924,1.0,0.2029,0.5513,0.5764
gpt-4o,regbi,0.8178,0.4022,0.3389,0.3263,0.3924,1.0,0.2029,0.3259,0.354
claude-sonnet,basel3,0.971,0.4765,0.6163,0.3225,0.4326,1.0,0.1754,0.5997,0.632
claude-sonnet,regbi,0.899,0.4503,0.3924,0.3225,0.4326,1.0,0.1754,0.3787,0.4061
llama3.2,basel3,0.0633,0.031,0.0356,0.3145,0.5361,1.0,0.4127,0.0257,0.0454
llama3.2,regbi,0.0461,0.0237,0.1028,0.3145,0.5361,1.0,0.4127,0.0894,0.1175
gpt-4o,gdpr,0.9478,0.7349,0.4353,0.0,0.3924,1.0,0.2029,,
claude-sonnet,gdpr,0.994,0.7711,0.5382,0.3178,0.4326,1.0,0.1754,,
